code,name,price,volume
300092.SZ,科新机电,11.61,6641925.0
300093.SZ,金刚光伏,13.7,19677015.0
300095.SZ,华伍股份,6.93,15775879.0
300098.SZ,高新兴,5.74,104878540.0
300099.SZ,尤洛卡,6.29,15968089.0
688001.SH,华兴源创,27.78,8300580.0
688002.SH,睿创微纳,53.66,8183001.0
688003.SH,天准科技,53.2,14944266.0
688005.SH,容百科技,37.55,18420490.0
688006.SH,杭可科技,19.31,9214657.0
688007.SH,光峰科技,17.9,19979211.0
688008.SH,澜起科技,77.73,71146311.0
688009.SH,中国通号,5.78,50338257.0
688017.SH,绿的谐波,153.7,12840348.0
688022.SH,瀚川智能,13.52,7655923.0
688023.SH,安恒信息,63.2,7339322.0
688028.SH,沃尔德,23.16,8636058.0
688033.SH,天宜上佳,6.11,24468757.0
688035.SH,德邦科技,40.71,5954056.0
688036.SH,传音控股,92.69,8376370.0
688037.SH,芯源微,86.47,7420339.0
688039.SH,当虹科技,34.7,7848605.0
688041.SH,海光信息,160.0,42343127.0
688046.SH,药康生物,15.25,5696432.0
688047.SH,龙芯中科,132.58,6199061.0
688048.SH,长光华芯,58.64,9370103.0
688049.SH,炬芯科技,45.97,10251809.0
