date,code,close,volume,amount,turn,pctChg
2025-02-27,sh.601700,4.48,8201800,36600876.0,0.718,-0.2227
2025-02-28,sh.601700,4.39,9723400,42977143.0,0.8513,-2.0089
2025-03-03,sh.601700,4.44,8186500,36493295.0,0.7167,1.139
2025-03-04,sh.601700,4.49,8381400,37473514.0,0.7338,1.1261
2025-03-05,sh.601700,4.47,6797080,30286699.0,0.5951,-0.4454
2025-03-06,sh.601700,4.56,13670949,61949006.95,1.1968,2.0134
2025-03-07,sh.601700,4.5,11093000,50030355.0,0.9712,-1.3158
2025-03-10,sh.601700,4.54,10223800,46341998.0,0.8951,0.8889
2025-03-11,sh.601700,4.59,10901176,49609446.76,0.9544,1.1013
2025-01-13,sh.603026,32.66,2120100,68664147.0,1.046,1.6812
2025-01-14,sh.603026,34.14,4295807,143553496.96,2.1195,4.5315
2025-01-15,sh.603026,33.52,2406500,81056500.0,1.1873,-1.8161
2025-01-16,sh.603026,33.44,2089800,70224626.0,1.0311,-0.2387
2025-01-17,sh.603026,33.28,1502000,50142082.0,0.7411,-0.4785
2025-01-20,sh.603026,33.88,2577009,87466138.09,1.2715,1.8029
2025-01-21,sh.603026,33.2,2263489,75883703.15,1.1168,-2.0071
2025-01-22,sh.603026,32.52,1808750,58957931.5,0.8924,-2.0482
2025-01-23,sh.603026,32.52,2009030,66329405.2,0.9912,0.0
2025-01-24,sh.603026,33.2,1681040,55417711.6,0.8294,2.091
2025-01-27,sh.603026,32.61,1561501,51570614.78,0.7704,-1.7771
2025-02-05,sh.603026,33.05,1269609,41960070.99,0.6264,1.3493
2025-02-06,sh.603026,34.13,2295781,77426045.15,1.1327,3.2678
2025-02-07,sh.603026,34.28,2700140,92782227.8,1.3322,0.4395
2025-02-10,sh.603026,34.23,2343000,79883192.0,1.156,-0.1459
2025-02-11,sh.603026,33.53,2975970,99782672.8,1.4683,-2.045
2025-02-12,sh.603026,33.36,6525700,216704161.0,3.2197,-0.507
2025-02-13,sh.603026,34.6,9657278,331022989.27,4.7648,3.717
2025-02-14,sh.603026,34.22,7747525,268225367.32,3.8225,-1.0983
2025-02-17,sh.603026,33.85,5056900,171763998.96,2.495,-1.0812
2025-02-18,sh.603026,34.17,5547353,190030997.2,2.737,0.9453
2025-02-19,sh.603026,34.16,4123409,140181751.26,2.0344,-0.0293
2025-02-20,sh.603026,33.84,3750500,127116675.32,1.8505,-0.9368
2025-02-21,sh.603026,33.99,4501178,152979940.3,2.2208,0.4433
2025-02-24,sh.603026,34.1,4441600,151051760.22,2.1914,0.3236
2025-02-25,sh.603026,33.86,4038249,137317285.85,1.9924,-0.7038
2025-02-26,sh.603026,35.07,8116055,281915295.43,4.0044,3.5735
2025-02-27,sh.603026,36.03,8841678,314654554.77,4.3624,2.7374
2025-02-28,sh.603026,35.7,9521943,347275494.74,4.698,-0.9159
2025-03-03,sh.603026,38.25,14073845,539337205.04,6.9439,7.1429
2025-03-04,sh.603026,36.9,9379767,346469195.29,4.6279,-3.5294
2025-03-05,sh.603026,36.28,5825099,210748907.08,2.874,-1.6802
2025-03-06,sh.603026,37.61,10154875,384098132.48,5.0103,3.6659
2025-03-07,sh.603026,36.65,6419140,237037789.96,3.1671,-2.5525
2025-03-10,sh.603026,36.88,3871200,142626666.0,1.91,0.6276
2025-03-11,sh.603026,37.45,5023400,186757205.0,2.4785,1.5456
2025-01-13,sh.603070,13.3,20966974,286067010.38,24.4546,-10.0135
2025-01-14,sh.603070,14.18,24769387,341044384.39,28.8894,6.6165
2025-01-15,sh.603070,13.56,15385633,210912383.41,17.9448,-4.3724
2025-01-16,sh.603070,13.86,16533055,226441711.67,19.2831,2.2124
2025-01-17,sh.603070,13.69,12414574,171195617.28,14.4796,-1.2266
2025-01-20,sh.603070,13.59,11979778,162076150.9,13.9725,-0.7305
2025-01-21,sh.603070,13.65,9948505,135036676.47,11.6033,0.4415
2025-01-22,sh.603070,13.99,15361313,212689568.42,17.9165,2.4908
2025-01-23,sh.603070,13.7,17045774,239102493.58,19.8811,-2.0729
2025-01-24,sh.603070,13.99,11224196,154514931.54,13.0912,2.1168
2025-01-27,sh.603070,13.02,9970848,133597578.1,11.6294,-6.9335
2025-02-05,sh.603070,13.59,9645600,128988839.09,11.25,4.3779
2025-02-06,sh.603070,13.66,8373043,112848157.23,9.7658,0.5151
2025-02-07,sh.603070,14.14,14074526,196779773.73,16.4156,3.5139
2025-02-10,sh.603070,14.25,11522800,163392486.0,13.4395,0.7779
2025-02-11,sh.603070,14.51,14103800,203649783.0,16.4498,1.8246
2025-02-12,sh.603070,14.48,10401773,150745232.66,12.132,-0.2068
2025-02-13,sh.603070,13.95,9635878,136136726.68,11.2387,-3.6602
2025-02-14,sh.603070,13.81,5567300,77515337.0,6.4933,-1.0036
2025-02-17,sh.603070,15.19,7984378,117834304.78,9.3125,9.9928
2025-02-18,sh.603070,14.83,24282474,368536431.04,28.3215,-2.37
2025-02-19,sh.603070,14.75,14388300,210986087.12,16.7816,-0.5394
2025-02-20,sh.603070,15.08,15194527,226286857.14,17.7219,2.2373
2025-02-21,sh.603070,15.69,24258070,375800048.46,28.2931,4.0451
2025-02-24,sh.603070,15.27,15516343,233414075.97,18.0973,-2.6769
2025-02-25,sh.603070,14.96,10196100,153118426.0,11.8921,-2.0301
2025-02-26,sh.603070,14.74,11398800,168504943.98,13.2948,-1.4706
2025-02-27,sh.603070,16.21,24021679,370117393.48,28.0174,9.9729
2025-02-28,sh.603070,15.51,25322386,401791418.38,29.5344,-4.3183
2025-03-03,sh.603070,15.48,15705293,245402112.5,18.3177,-0.1934
2025-03-04,sh.603070,15.78,15251500,236895181.0,17.7884,1.938
2025-03-05,sh.603070,15.59,12469700,192665725.1,14.5439,-1.2041
2025-03-06,sh.603070,15.65,15231000,238200933.0,17.7645,0.3849
2025-03-07,sh.603070,15.09,12625300,191948380.0,14.7254,-3.5783
2025-03-10,sh.603070,15.75,15969168,247335741.6,4.0386,4.3738
2025-03-11,sh.603070,15.71,12557968,194582452.2,3.1759,-0.254
2025-01-13,sh.603218,11.52,7871726,90872907.7,0.7666,0.2611
2025-01-14,sh.603218,11.98,11208800,132475178.0,1.0916,3.9931
2025-01-15,sh.603218,11.83,6930228,82145701.08,0.6749,-1.2521
2025-01-16,sh.603218,11.84,6419046,76426754.32,0.6251,0.0845
2025-01-17,sh.603218,11.91,8876576,106547603.51,0.8644,0.5912
2025-01-20,sh.603218,12.05,9017299,109163525.96,0.8781,1.1755
2025-01-21,sh.603218,12.05,6641000,79648430.0,0.6467,0.0
2025-01-22,sh.603218,12.1,5982600,71869655.7,0.5826,0.4149
2025-01-23,sh.603218,11.93,11107635,134478588.7,1.0817,-1.405
2025-01-24,sh.603218,12.2,8319857,100865731.69,0.8102,2.2632
2025-01-27,sh.603218,12.07,6008397,72736659.28,0.5851,-1.0656
2025-02-05,sh.603218,11.93,7695500,92369422.5,0.7494,-1.1599
2025-02-06,sh.603218,11.95,8158800,97378740.18,0.7945,0.1676
2025-02-07,sh.603218,12.27,13406503,163360690.39,1.3056,2.6778
2025-02-10,sh.603218,12.41,12931634,160288631.12,1.2593,1.141
2025-02-11,sh.603218,12.37,6679172,82575738.32,0.6504,-0.3223
2025-02-12,sh.603218,12.19,11179212,136745170.16,1.0887,-1.4551
2025-02-13,sh.603218,12.2,7652538,93517518.44,0.7452,0.082
2025-02-14,sh.603218,12.22,8152568,100303415.89,0.7939,0.1639
2025-02-17,sh.603218,12.3,10986919,134119592.81,1.07,0.6547
2025-02-18,sh.603218,11.99,9262131,111999461.73,0.902,-2.5203
2025-02-19,sh.603218,12.35,13085724,160040240.1,1.2743,3.0025
2025-02-20,sh.603218,12.73,20379601,258276195.92,1.9847,3.0769
2025-02-21,sh.603218,12.44,17042162,212502982.02,1.6596,-2.2781
2025-02-24,sh.603218,12.35,9909672,123022859.48,0.965,-0.7235
2025-02-25,sh.603218,13.0,28763021,368522467.75,2.8011,5.2632
2025-02-26,sh.603218,13.06,21979204,289854969.6,2.1404,0.4615
2025-02-27,sh.603218,13.23,16182107,213007652.06,1.5759,1.3017
2025-02-28,sh.603218,12.96,11873891,155106628.83,1.1563,-2.0408
2025-03-03,sh.603218,13.22,21475755,286581628.7,2.0914,2.0062
2025-03-04,sh.603218,13.19,8854557,116507540.13,0.8623,-0.2269
2025-03-05,sh.603218,13.23,11720871,156481775.46,1.1414,0.3033
2025-03-06,sh.603218,13.35,10915594,145110180.92,1.063,0.907
2025-03-07,sh.603218,13.24,10117131,133168886.03,0.9853,-0.824
2025-03-10,sh.603218,13.41,13003158,173421766.79,1.2663,1.284
2025-03-11,sh.603218,13.34,9684078,127391067.08,0.9431,-0.522
